127.0.0.1, 2015-03-31 17:41:49, GET, /admin/default/edit/Assignment/controllers/default.py, HTTP/1.1, 200, 0.033701
127.0.0.1, 2015-03-31 17:41:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001261
127.0.0.1, 2015-03-31 17:41:49, GET, /admin/default/edit/Assignment/controllers/default.py, HTTP/1.1, 200, 0.054842
127.0.0.1, 2015-03-31 17:41:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.114914
127.0.0.1, 2015-03-31 17:41:49, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.261108
127.0.0.1, 2015-03-31 17:41:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.264901
127.0.0.1, 2015-03-31 17:41:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.208960
127.0.0.1, 2015-03-31 17:41:50, GET, /Assignment/appadmin/hooks, HTTP/1.1, 200, 1.345804
127.0.0.1, 2015-03-31 17:41:59, GET, /admin/default/design/Assignment, HTTP/1.1, 200, 0.083141
127.0.0.1, 2015-03-31 17:41:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2015-03-31 17:42:16, GET, /admin/default/site, HTTP/1.1, 200, 0.040987
127.0.0.1, 2015-03-31 17:42:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2015-03-31 17:42:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000473
127.0.0.1, 2015-03-31 17:42:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000492
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/default/index, HTTP/1.1, 200, 18.750637
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/js/calendar.js, HTTP/1.1, 200, 0.001762
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/css/calendar.css, HTTP/1.1, 200, 0.000473
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/plugin_layouts/layouts/FlashyWeb/default.css, HTTP/1.1, 200, 0.000412
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/plugin_layouts/superfish.js, HTTP/1.1, 200, 0.000395
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/js/web2py.js, HTTP/1.1, 200, 0.000293
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/js/jquery.js, HTTP/1.1, 200, 0.003462
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/plugin_layouts/layouts/FlashyWeb/images/img03.jpg, HTTP/1.1, 200, 0.000463
127.0.0.1, 2015-03-31 17:42:21, GET, /Assignment/static/plugin_layouts/layouts/FlashyWeb/images/img08.gif, HTTP/1.1, 404, 0.000821
127.0.0.1, 2015-03-31 17:42:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000824
127.0.0.1, 2015-03-31 17:42:54, GET, /Assignment/default/index, HTTP/1.1, 200, 1.158036
127.0.0.1, 2015-03-31 17:42:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000754
127.0.0.1, 2015-03-31 17:42:56, GET, /Assignment/default/index, HTTP/1.1, 200, 0.383178
127.0.0.1, 2015-03-31 17:42:56, GET, /Assignment/static/js/jquery.js, HTTP/1.1, 304, 0.001159
127.0.0.1, 2015-03-31 17:42:56, GET, /Assignment/static/js/calendar.js, HTTP/1.1, 304, 0.000919
127.0.0.1, 2015-03-31 17:42:56, GET, /Assignment/static/js/web2py.js, HTTP/1.1, 304, 0.000294
127.0.0.1, 2015-03-31 17:42:56, GET, /Assignment/static/css/calendar.css, HTTP/1.1, 304, 0.000256
127.0.0.1, 2015-03-31 17:42:56, GET, /Assignment/static/plugin_layouts/layouts/FlashyWeb/default.css, HTTP/1.1, 304, 0.000393
127.0.0.1, 2015-03-31 17:42:56, GET, /Assignment/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.000390
127.0.0.1, 2015-03-31 17:42:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2015-03-31 17:42:58, GET, /Assignment/default/index, HTTP/1.1, 200, 0.585956
127.0.0.1, 2015-03-31 17:42:58, GET, /Assignment/static/css/calendar.css, HTTP/1.1, 304, 0.001226
127.0.0.1, 2015-03-31 17:42:58, GET, /Assignment/static/js/jquery.js, HTTP/1.1, 304, 0.002880
127.0.0.1, 2015-03-31 17:42:58, GET, /Assignment/static/plugin_layouts/layouts/FlashyWeb/default.css, HTTP/1.1, 304, 0.000418
127.0.0.1, 2015-03-31 17:42:58, GET, /Assignment/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.001746
127.0.0.1, 2015-03-31 17:42:58, GET, /Assignment/static/js/calendar.js, HTTP/1.1, 304, 0.008555
127.0.0.1, 2015-03-31 17:42:58, GET, /Assignment/static/js/web2py.js, HTTP/1.1, 304, 0.004152
127.0.0.1, 2015-03-31 17:42:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001089
127.0.0.1, 2015-03-31 17:43:09, GET, /admin/default/design/Assignment, HTTP/1.1, 200, 0.080786
127.0.0.1, 2015-03-31 17:43:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2015-03-31 17:43:17, GET, /admin/default/edit/Assignment/controllers/default.py, HTTP/1.1, 200, 0.035467
127.0.0.1, 2015-03-31 17:43:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000509
127.0.0.1, 2015-03-31 17:43:17, GET, /admin/default/edit/Assignment/controllers/default.py, HTTP/1.1, 200, 0.081476
127.0.0.1, 2015-03-31 17:43:17, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.118982
127.0.0.1, 2015-03-31 17:43:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.196907
127.0.0.1, 2015-03-31 17:43:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.370842
127.0.0.1, 2015-03-31 17:43:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.282699
127.0.0.1, 2015-03-31 17:43:18, GET, /Assignment/appadmin/hooks, HTTP/1.1, 200, 1.357769
127.0.0.1, 2015-03-31 17:44:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063309
127.0.0.1, 2015-03-31 17:44:18, GET, /Assignment/appadmin/hooks, HTTP/1.1, 200, 0.160548
127.0.0.1, 2015-03-31 17:44:28, GET, /Assignment/default/index, HTTP/1.1, 200, 32.461875
127.0.0.1, 2015-03-31 17:44:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000610
127.0.0.1, 2015-03-31 17:44:32, GET, /Assignment/default/user/login, HTTP/1.1, 200, 0.110934
127.0.0.1, 2015-03-31 17:44:32, GET, /Assignment/default/user/styles.css, HTTP/1.1, 404, 0.133683
127.0.0.1, 2015-03-31 17:44:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001176
127.0.0.1, 2015-03-31 17:45:00, POST, /Assignment/default/user/login, HTTP/1.1, 500, 1.963634
127.0.0.1, 2015-03-31 17:45:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000580
127.0.0.1, 2015-03-31 17:45:02, GET, /admin/default/ticket/Assignment/127.0.0.1.2015-03-31.17-44-58.b79e4f2b-846f-43cf-be5b-b47128b83840, HTTP/1.1, 200, 0.140314
127.0.0.1, 2015-03-31 17:45:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000673
127.0.0.1, 2015-03-31 17:45:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129325
127.0.0.1, 2015-03-31 17:45:19, GET, /Assignment/appadmin/hooks, HTTP/1.1, 200, 1.037342
127.0.0.1, 2015-03-31 17:46:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062403
127.0.0.1, 2015-03-31 17:46:18, GET, /Assignment/appadmin/hooks, HTTP/1.1, 200, 0.160606
127.0.0.1, 2015-03-31 17:46:41, GET, /Assignment/default/, HTTP/1.1, 200, 0.127732
127.0.0.1, 2015-03-31 17:46:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001417
127.0.0.1, 2015-03-31 17:46:44, GET, /Assignment/default/, HTTP/1.1, 200, 0.358122
127.0.0.1, 2015-03-31 17:46:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000668
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/default/, HTTP/1.1, 200, 0.629590
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/default/, HTTP/1.1, 200, 0.456626
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/default/, HTTP/1.1, 200, 0.474505
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/default/, HTTP/1.1, 200, 0.493232
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/default/, HTTP/1.1, 200, 0.536912
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/static/css/calendar.css, HTTP/1.1, 304, 0.002243
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/static/js/calendar.js, HTTP/1.1, 304, 0.001382
127.0.0.1, 2015-03-31 17:46:47, GET, /Assignment/static/js/jquery.js, HTTP/1.1, 304, 0.006048
127.0.0.1, 2015-03-31 17:46:48, GET, /Assignment/static/js/web2py.js, HTTP/1.1, 304, 0.001366
